common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,wp_int,fl_reg,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag
SHEEPSHEAD,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119001,6,1,we,8835430301,0,2,0,0,0,2,0,0,0,0,7,01,9084.6397614,8,9084.6397614,2,0,0,0,2018011273weS:8AM-8PM,,0
GULF KINGFISH,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119002,6,1,we,8835440602,1,0,0,1,0,0,314,0.24,0,0,7,01,9084.6397614,8,9084.6397614,1,0.24,314,1,2018011273weS:8AM-8PM,,0
,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119003,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,9084.6397614,8,9084.6397614,0,0,0,0,2018011273weS:8AM-8PM,,0
,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119004,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,10220.663382,8,10220.663382,0,0,0,0,2018011273weS:8AM-8PM,,0
,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119005,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,10220.663382,8,10220.663382,0,0,0,0,2018011273weS:8AM-8PM,,0
KINGFISH GENUS,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119006,6,1,we,8835440600,0,0,3,0,3,0,0,0,0,0,7,01,10220.663382,8,10220.663382,3,0,0,3,2018011273weS:8AM-8PM,,0
KINGFISH GENUS,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119007,6,1,we,8835440600,0,0,1,0,1,0,0,0,0,0,7,01,10220.663382,8,10220.663382,1,0,0,1,2018011273weS:8AM-8PM,,0
,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119008,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,10220.663382,8,10220.663382,0,0,0,0,2018011273weS:8AM-8PM,,0
,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119009,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,10220.663382,8,10220.663382,0,0,0,0,2018011273weS:8AM-8PM,,0
,2018011273weS:8AM-8PM,2018112731511220180119,2018,12,3,1,1511220180119010,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,10220.663382,8,10220.663382,0,0,0,0,2018011273weS:8AM-8PM,,0
COMMON SNOOK,2018021263wdS:8AM-8PM,2018112631550820180214,2018,12,3,1,1550820180214001,6,1,wd,8835010105,0,2,0,0,0,2,0,0,0,0,6,02,97443.417222,8,97443.417222,2,0,0,0,2018021263wdS:8AM-8PM,,0
,2018021263wdS:8AM-8PM,2018112631550820180214,2018,12,3,1,1550820180214002,6,1,wd,,0,0,0,0,0,0,0,0,0,0,6,02,97443.417222,8,97443.417222,0,0,0,0,2018021263wdS:8AM-8PM,,0
STINGRAY GENUS,2018021263wdS:8AM-8PM,2018112631550820180214,2018,12,3,1,1550820180214003,6,1,wd,8713050100,0,2,0,0,0,2,0,0,0,0,6,02,97443.417222,8,97443.417222,2,0,0,0,2018021263wdS:8AM-8PM,,0
CREVALLE JACK,2018021263wdS:8AM-8PM,2018112631550820180214,2018,12,3,1,1550820180214003,6,1,wd,8835280303,0,2,0,0,0,2,0,0,0,0,6,02,97443.417222,8,97443.417222,2,0,0,0,2018021263wdS:8AM-8PM,,0
GULF KINGFISH,2018021263wdS:8AM-8PM,2018112631550820180214,2018,12,3,1,1550820180214003,6,1,wd,8835440602,2,0,0,2,0,0,648,0.62,0,0,6,02,97443.417222,8,97443.417222,2,0.62,648,2,2018021263wdS:8AM-8PM,,0
ATLANTIC CROAKER,2018021263wdS:8AM-8PM,2018112631550820180214,2018,12,3,1,1550820180214003,6,1,wd,8835440702,0,0,1,0,1,0,0,0,222,0.1,6,02,97443.417222,8,97443.417222,1,0.1,222,1,2018021263wdS:8AM-8PM,,0
BLACK DRUM,2018021263wdS:8AM-8PM,2018112631550820180214,2018,12,3,1,1550820180214003,6,1,wd,8835440801,1,0,0,1,0,0,464,1.4,0,0,6,02,97443.417222,8,97443.417222,1,1.4,464,1,2018021263wdS:8AM-8PM,,0
STINGRAY GENUS,2018021263wdS:8AM-8PM,2018112631550820180214,2018,12,3,1,1550820180214004,6,1,wd,8713050100,0,3,0,0,0,3,0,0,0,0,6,02,97443.417222,8,97443.417222,3,0,0,0,2018021263wdS:8AM-8PM,,0
