prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,telefon,COASTAL,kod,ASG_CODE,MODE_ASG,new_list,PRT_CODE,CELLTYPE,region,strat_interval,month,fshinsp_a,num_fish_a,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,date1,DIST,prim1,prim2,MODE2001,TURTLE,GENDER,REEFCODE,AGE,AREA_NC,ART_REEF,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,,2018011273weS:8AM-8PM,2018112731511220180119,2018,6,12,97,12,127,21,1,3,1,1,1,0.00,150,25,1,1,0,0,0,,,1511220180119001,6,1,2,,,,,Y,we,1511220180119,1,,1511220180119001,1,7,S:8AM-8PM,01,,,OSCEOLA,1130,,,1,1,,8,2,8,15FEB201809:49,1,,,,,,,,,,,,9084.6397614,2018011273weS:8AM-8PM,,0,1511220180119001
BLACK DRUM,KINGFISH GENUS,2018011273weS:8AM-8PM,2018112731511220180119,2018,6,12,117,12,127,21,1,3,1,1,3.5,0.00,100,15,1,0,1,0,0,,,1511220180119002,6,1,1,,,,,Y,we,1511220180119,1,,1511220180119002,1,7,S:8AM-8PM,01,1,0,SEMINOLE,1135,169273,169288,1,1,,8,1,1,15FEB201809:49,1,8835440600,8835440801,,,,,,,,,,9084.6397614,2018011273weS:8AM-8PM,,0,1511220180119002
,BLUEFISH,2018011273weS:8AM-8PM,2018112731511220180119,2018,6,12,127,12,127,21,1,3,1,1,2,,50,7,1,0,0,0,0,,,1511220180119003,6,1,2,,,,,Y,we,1511220180119,1,,1511220180119003,,7,S:8AM-8PM,01,,,VOLUSIA,1145,168559,,1,1,,8,2,8,15FEB201809:49,1,8835250101,,,,,,,,,,,9084.6397614,2018011273weS:8AM-8PM,,0,1511220180119003
,,2018011273weS:8AM-8PM,2018112731511220180119,2018,6,12,127,12,127,21,1,3,1,1,1,,250,40,1,0,0,0,0,,,1511220180119004,6,1,2,,,,,Y,we,1511220180119,1,,1511220180119004,,7,S:8AM-8PM,01,,,VOLUSIA,1405,,,1,1,,8,2,8,15FEB201809:49,1,,,,,,,,,,,,10220.663382,2018011273weS:8AM-8PM,,0,1511220180119004
,SHEEPSHEAD,2018011273weS:8AM-8PM,2018112731511220180119,2018,6,12,127,12,127,21,1,3,1,1,2,,35,25,1,0,0,0,0,,,1511220180119005,6,1,2,,,,,Y,we,1511220180119,1,,1511220180119005,,7,S:8AM-8PM,01,,,VOLUSIA,1420,169189,,1,1,,8,1,8,15FEB201809:49,1,8835430301,,,,,,,,,,,10220.663382,2018011273weS:8AM-8PM,,0,1511220180119005
KINGFISH GENUS,SPOTTED SEATROUT,2018011273weS:8AM-8PM,2018112731511220180119,2018,6,12,127,12,127,21,1,3,1,1,4.5,0.00,150,24,1,1,0,0,0,,,1511220180119006,6,1,2,,,,,Y,we,1511220180119,1,,1511220180119006,1,7,S:8AM-8PM,01,0,3,VOLUSIA,1451,169239,169273,1,1,,8,2,8,15FEB201809:49,1,8835440102,8835440600,,,,,,,,,,10220.663382,2018011273weS:8AM-8PM,,0,1511220180119006
,,2018011273weS:8AM-8PM,2018112731511220180119,2018,6,12,127,12,127,21,1,3,1,1,4.5,0.00,998,1,1,1,0,0,0,,,1511220180119007,6,1,2,,,,,Y,we,1511220180119,1,,1511220180119007,1,7,S:8AM-8PM,01,0,1,VOLUSIA,1555,,,1,1,,8,2,8,15FEB201809:49,1,,,,,,,,,,,,10220.663382,2018011273weS:8AM-8PM,,0,1511220180119007
,,2018011273weS:8AM-8PM,2018112731511220180119,2018,6,12,127,12,127,21,1,3,1,1,4.5,,998,1,1,0,0,0,0,,,1511220180119008,6,1,2,,,,,Y,we,1511220180119,1,,1511220180119008,,7,S:8AM-8PM,01,,,VOLUSIA,1556,,,1,1,,8,2,8,15FEB201809:49,1,,,,,,,,,,,,10220.663382,2018011273weS:8AM-8PM,,0,1511220180119008
,,2018011273weS:8AM-8PM,2018112731511220180119,2018,0,56,37,12,127,21,1,3,1,1,6.5,,0,0,1,0,0,0,0,,,1511220180119009,6,1,2,,,,,O,we,1511220180119,1,,1511220180119009,,7,S:8AM-8PM,01,,,,1657,,,1,1,,8,1,8,15FEB201809:49,1,,,,,,,,,,,,10220.663382,2018011273weS:8AM-8PM,,0,1511220180119009
,,2018011273weS:8AM-8PM,2018112731511220180119,2018,0,56,37,12,127,21,1,3,1,1,6.5,,0,0,1,0,0,0,0,,,1511220180119010,6,1,2,,,,,O,we,1511220180119,1,,1511220180119010,,7,S:8AM-8PM,01,,,,1658,,,1,1,,8,2,8,15FEB201809:49,1,,,,,,,,,,,,10220.663382,2018011273weS:8AM-8PM,,0,1511220180119010
