prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,telefon,COASTAL,kod,new_list,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,region,strat_interval,month,fshinsp_a,num_fish_a,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,date1,DIST,prim1,prim2,MODE2001,TURTLE,GENDER,REEFCODE,AGE,AREA_NC,ART_REEF,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,STRIPED BASS,201803913weS:8AM-8PM,201829131748920180304,2018,4,9,9,9,9,4336,5,3,3,5,0.5,0.00,199,49,1,1,0,0,0,,,1748920180304001,4,2,2,,,,,Y,we,,1748920180304,3,1748920180304001,2,1,S:8AM-8PM,03,,,NEW HAVEN,1102,167680,,,1,,8,1,8,18MAY18:10:49,8,8835020102,,5,,1,,,,2,,,1190.6076706,201803913weS:8AM-8PM,,0,1748920180304001
,STRIPED BASS,201803913wdS:8AM-8PM,201829131748920180306,2018,4,9,9,9,9,4336,5,3,3,5,1.5,2.00,79,9,1,0,0,0,0,,,1748920180306004,4,2,2,,,,,Y,wd,,1748920180306,3,1748920180306004,,1,S:8AM-8PM,03,,,NEW HAVEN,1646,167680,,,1,,8,1,8,18MAY18:10:49,8,8835020102,,5,,1,,,,2,,,1370.6820509,201803913wdS:8AM-8PM,,0,1748920180306004
,,201803913wdS:8AM-8PM,201829131748920180306,2018,4,9,9,9,9,4336,5,3,3,5,1.5,2.00,79,9,1,0,0,0,0,,,1748920180306005,4,2,2,,,,,Y,wd,,1748920180306,3,1748920180306005,,1,S:8AM-8PM,03,,,NEW HAVEN,1649,,,,1,,8,1,8,18MAY18:10:49,8,,,5,,1,,,,2,,,1370.6820509,201803913wdS:8AM-8PM,,0,1748920180306005
,STRIPED BASS,201803913weS:8AM-8PM,201829131748920180310,2018,5,34,17,9,9,4336,5,3,3,5,4,0.50,0,0,1,0,0,0,0,,,1748920180310008,4,2,2,,,,,O,we,,1748920180310,3,1748920180310008,,1,S:8AM-8PM,03,,,HUDSON,1950,167680,,,1,,8,1,8,18MAY18:10:49,8,8835020102,,5,,1,,,,2,,,1807.9773738,201803913weS:8AM-8PM,,0,1748920180310008
,,201803913wdS:8AM-8PM,201829131748920180327,2018,4,9,9,9,9,4336,5,3,3,5,0.5,0.00,24,0,1,0,0,0,0,,,1748920180327001,4,2,2,,,,,Y,wd,,1748920180327,3,1748920180327001,,1,S:8AM-8PM,03,,,NEW HAVEN,1251,,,,1,,8,2,8,18MAY18:10:49,8,,,5,,1,,,,2,,,1373.8733306,201803913wdS:8AM-8PM,,0,1748920180327001
,STRIPED BASS,201803913weS:8AM-8PM,201829131748920180330,2018,4,9,1,9,1,4334,5,3,3,5,6,0.00,249,49,1,0,0,0,0,,,1748920180330010,4,2,2,,,,,Y,we,,1748920180330,3,1748920180330010,,1,S:8AM-8PM,03,,,FAIRFIELD,1534,167680,,,1,,8,1,8,18MAY18:10:49,8,8835020102,,5,,1,,,,2,,,1162.5913535,201803913weS:8AM-8PM,,0,1748920180330010
,STRIPED BASS,201803913weS:8AM-8PM,201829131748920180331,2018,4,9,1,9,1,128,1,3,3,5,2,,99,21,1,0,0,0,0,,,1748920180331006,4,2,2,,,,,Y,we,,1748920180331,3,1748920180331006,,1,S:8AM-8PM,03,,,FAIRFIELD,1310,167680,,,1,,8,1,8,18MAY18:10:49,8,8835020102,,0,,2,,37,,2,,,1807.9773738,201803913weS:8AM-8PM,,0,1748920180331006
,STRIPED BASS,201803913weS:8AM-8PM,201829131748920180331,2018,4,9,1,9,1,128,1,3,3,5,2,,99,21,1,0,0,0,0,,,1748920180331007,4,2,2,,,,,Y,we,,1748920180331,3,1748920180331007,,1,S:8AM-8PM,03,,,FAIRFIELD,1316,167680,,,1,,8,1,8,18MAY18:10:49,8,8835020102,,0,,1,,35,,2,,,1807.9773738,201803913weS:8AM-8PM,,0,1748920180331007
,STRIPED BASS,201804913weS:8AM-8PM,201829131748920180401,2018,4,9,9,9,1,4334,5,3,3,5,5,0.00,99,6,1,0,0,0,0,,,1748920180401001,4,2,2,,,,,Y,we,,1748920180401,3,1748920180401001,,1,S:8AM-8PM,04,,,NEW HAVEN,1444,167680,,,1,,8,1,8,18MAY18:10:49,8,8835020102,,5,,1,,,,2,,,967.43738201,201804913weS:8AM-8PM,,0,1748920180401001
,STRIPED BASS,201804913weS:8AM-8PM,201829131748920180401,2018,4,9,9,9,1,4334,5,3,3,5,5,0.00,89,6,1,1,0,0,0,,,1748920180401002,4,2,2,,,,,Y,we,,1748920180401,3,1748920180401002,2,1,S:8AM-8PM,04,,,NEW HAVEN,1447,167680,,,1,,8,1,8,18MAY18:10:49,8,8835020102,,5,,1,,,,2,,,967.43738201,201804913weS:8AM-8PM,,0,1748920180401002
,STRIPED BASS,201804913weS:8AM-8PM,201829131748920180401,2018,4,9,9,9,1,4334,5,3,3,5,6,0.00,294,39,1,0,0,0,0,,,1748920180401003,4,2,2,,,,,Y,we,,1748920180401,3,1748920180401003,,1,S:8AM-8PM,04,,,NEW HAVEN,1530,167680,,,1,,8,1,8,18MAY18:10:49,8,8835020102,,5,,1,,63,,2,,,967.43738201,201804913weS:8AM-8PM,,0,1748920180401003
,,201804913weS:8AM-8PM,201829131748920180401,2018,4,9,1,9,1,4334,5,3,3,5,1,0.00,99,6,1,0,0,0,0,,,1748920180401004,4,2,2,,,,,Y,we,,1748920180401,3,1748920180401004,,1,S:8AM-8PM,04,,,FAIRFIELD,1538,,,,1,,8,1,8,18MAY18:10:49,8,,,5,,1,,33,,2,,,967.43738201,201804913weS:8AM-8PM,,0,1748920180401004
